R,T
0.000000,-0.500000
0.017267,-0.499532
0.034686,-0.498118
0.052416,-0.495723
0.070623,-0.492290
0.089487,-0.487737
0.109209,-0.481951
0.130014,-0.474787
0.152159,-0.466063
0.175937,-0.455556
0.201685,-0.443000
0.229777,-0.428085
0.260623,-0.410467
0.294641,-0.389796
0.332211,-0.365761
0.373592,-0.338177
0.418805,-0.307099
0.467505,-0.272957
0.518894,-0.236644
0.571756,-0.199478
0.624652,-0.163015
0.676219,-0.128751
0.725439,-0.097860
0.771761,-0.071069
0.815080,-0.048693
0.855623,-0.030749
0.893824,-0.017094
0.930225,-0.007529
0.965416,-0.001871
1.000000,0.000000
